ambition 抱负、野心、雄心、追求、夙愿、理想 
ambitous 有抱负的、有雄心的、野心勃勃的
someday 有朝一日
matter-of-factly 就事论事、不带感情地、实事求是地
biology 生物学
resolve 解决（问题、困难）
fiction 小说
freshman 一年级学生
pretend 假装、装作
desperate 非常需要……的、不惜冒险的、拼命的、绝望的
buddy 朋友、伙伴
entertaining 使人愉快的、有趣的
apologetic 道歉的、谢罪的、愧疚的
attain 得到、获得、赢得
attainable 可以获得的、可以到达的
determination 决心、坚韧、毅力
realistic 现实的、实际的、实事求是的
ethologist 动物行为学家
jungle 丛林
fated 命运决定的、命中注定的
adventurous 喜欢冒险的、有冒险精神的
exotic 异国风情的、外国情调的
string 一系列、线、细绳、带子、用……穿起来
conflict 抵触、冲突、矛盾
whole-heartedly 全心全意地、全力以赴地
single-mindedly 一心一意地、专心致志地
greedy 贪婪的、贪心的、贪吃的、贪喝的
chaotic 混乱的、毫无秩序的
overdue 迟到的、延误的、过期未完成的、过期未付的、过期未还的
mature 成熟的、理智的、明白事理的
assign 分配、分派、指派
pediatrician 儿科医生
best-seller 畅销产品、畅销书
anymore 再也、再
roll-trip-off-the-tongue 顺口
be-get-feel-burned-out 感到精疲力竭
the-here-and-now 现时
come-up-short 未能赢取、未能获得
add-up 积累、积少成多
string-together 把……拼在一起
prior-to 在……以前
at-peace 心平气和的
quite-just-the-opposite 正好/完全相反
run/be/go-counter-to 违背某事、与某事背道而驰
